batch_id,plant_id,batch_start,batch_end,status,planned_duration_minutes
BCH-00058,PLT-001,2024-02-01 22:53:19,2024-02-02 07:07:13,completed,420
BCH-00059,PLT-001,2024-02-03 09:38:21,2024-02-03 17:19:35,completed,420
BCH-00060,PLT-001,2024-02-03 21:47:46,2024-02-04 06:14:41,completed,420
BCH-00061,PLT-001,2024-02-04 01:42:41,2024-02-04 09:46:49,completed,420
BCH-00062,PLT-001,2024-02-04 04:24:10,2024-02-04 11:24:10,completed,420
BCH-00063,PLT-001,2024-02-05 12:27:42,2024-02-05 20:01:20,completed,420
BCH-00064,PLT-001,2024-02-05 14:20:18,2024-02-05 17:03:33,aborted,420
BCH-00065,PLT-001,2024-02-06 03:21:11,2024-02-06 10:41:00,completed,420
BCH-00066,PLT-001,2024-02-06 21:48:16,2024-02-07 04:59:08,completed,420
BCH-00067,PLT-001,2024-02-07 01:57:52,2024-02-07 09:04:30,completed,420
BCH-00068,PLT-001,2024-02-07 09:50:24,2024-02-07 15:11:39,aborted,420
BCH-00069,PLT-001,2024-02-07 17:38:59,2024-02-08 00:38:59,completed,420
BCH-00070,PLT-001,2024-02-08 17:40:34,2024-02-09 00:40:34,completed,420
BCH-00071,PLT-001,2024-02-09 02:51:07,2024-02-09 09:56:20,completed,420
BCH-00072,PLT-001,2024-02-09 06:46:43,2024-02-09 14:54:40,completed,420
BCH-00073,PLT-001,2024-02-09 16:03:10,2024-02-09 23:03:10,completed,420
BCH-00074,PLT-001,2024-02-09 16:04:48,2024-02-09 23:04:48,completed,420
BCH-00075,PLT-001,2024-02-09 18:44:20,2024-02-10 01:44:20,completed,420
BCH-00076,PLT-001,2024-02-10 05:38:57,2024-02-10 13:25:06,completed,420
BCH-00077,PLT-001,2024-02-10 22:18:16,2024-02-10 23:01:53,aborted,420
BCH-00078,PLT-001,2024-02-12 00:23:30,2024-02-12 07:23:30,completed,420
BCH-00079,PLT-001,2024-02-12 07:28:15,2024-02-12 16:17:06,completed,420
BCH-00080,PLT-001,2024-02-12 08:13:54,2024-02-12 15:13:54,completed,420
BCH-00081,PLT-001,2024-02-13 10:41:17,2024-02-13 20:29:52,completed,420
BCH-00082,PLT-001,2024-02-13 20:20:35,2024-02-14 03:20:35,completed,420
BCH-00083,PLT-001,2024-02-13 23:14:51,2024-02-14 06:14:51,completed,420
BCH-00084,PLT-001,2024-02-14 05:58:49,2024-02-14 14:15:20,completed,420
BCH-00085,PLT-001,2024-02-14 09:01:43,2024-02-14 16:10:07,completed,420
BCH-00086,PLT-001,2024-02-14 09:28:26,2024-02-14 17:11:27,completed,420
BCH-00087,PLT-001,2024-02-16 06:41:09,2024-02-16 14:18:09,completed,420
BCH-00088,PLT-001,2024-02-16 07:11:53,2024-02-16 14:11:53,completed,420
BCH-00089,PLT-001,2024-02-16 16:01:22,2024-02-16 23:01:22,completed,420
BCH-00090,PLT-001,2024-02-16 17:24:11,2024-02-17 00:24:11,completed,420
BCH-00091,PLT-001,2024-02-16 18:59:54,2024-02-17 01:59:54,completed,420
BCH-00092,PLT-001,2024-02-17 01:40:55,2024-02-17 08:45:55,completed,420
BCH-00093,PLT-001,2024-02-18 11:59:35,2024-02-18 19:33:05,completed,420
BCH-00094,PLT-001,2024-02-19 05:18:56,2024-02-19 14:32:13,completed,420
BCH-00095,PLT-001,2024-02-19 17:38:30,2024-02-20 02:46:42,completed,420
BCH-00096,PLT-001,2024-02-20 17:02:59,2024-02-21 00:17:03,completed,420
BCH-00097,PLT-001,2024-02-24 06:07:00,2024-02-24 13:58:06,completed,420
BCH-00098,PLT-001,2024-02-24 15:46:38,2024-02-24 22:32:09,aborted,420
BCH-00099,PLT-001,2024-02-25 19:39:01,2024-02-26 03:05:53,completed,420
BCH-00100,PLT-001,2024-02-25 23:38:57,2024-02-26 06:38:57,completed,420
BCH-00101,PLT-001,2024-02-26 14:39:02,2024-02-26 21:51:37,completed,420
BCH-00102,PLT-001,2024-02-26 16:46:54,2024-02-27 00:48:16,completed,420
BCH-00103,PLT-001,2024-02-26 22:45:23,2024-02-27 06:21:34,completed,420
BCH-00104,PLT-001,2024-02-27 15:51:04,2024-02-27 23:01:56,completed,420
BCH-00105,PLT-001,2024-02-27 18:36:00,2024-02-28 01:51:22,completed,420
BCH-00106,PLT-001,2024-02-29 20:05:55,2024-02-29 20:24:36,aborted,420
BCH-00107,PLT-001,2024-03-01 10:28:17,2024-03-01 18:49:12,completed,420
BCH-00108,PLT-001,2024-03-01 21:33:17,2024-03-02 04:33:17,completed,420
BCH-00109,PLT-001,2024-03-02 10:29:26,2024-03-02 17:34:48,completed,420
BCH-00110,PLT-001,2024-03-03 03:08:20,2024-03-03 11:33:41,completed,420
BCH-00111,PLT-001,2024-03-03 15:48:19,2024-03-03 23:57:53,completed,420
BCH-00112,PLT-001,2024-03-05 09:21:36,2024-03-05 17:29:51,completed,420
BCH-00113,PLT-001,2024-03-06 08:49:31,2024-03-06 17:54:01,completed,420
BCH-00114,PLT-001,2024-03-06 09:33:40,2024-03-06 16:50:25,completed,420
BCH-00115,PLT-001,2024-03-06 16:28:20,2024-03-06 17:25:43,aborted,420
BCH-00116,PLT-001,2024-03-07 13:27:44,2024-03-07 20:27:44,completed,420
BCH-00117,PLT-001,2024-03-08 11:33:03,2024-03-08 19:22:26,completed,420
BCH-00118,PLT-001,2024-03-08 18:25:53,2024-03-09 02:23:23,completed,420
BCH-00119,PLT-001,2024-03-09 00:20:24,2024-03-09 05:30:40,aborted,420
BCH-00120,PLT-001,2024-03-10 14:42:30,2024-03-11 00:36:32,completed,420
BCH-00121,PLT-001,2024-03-10 16:28:03,2024-03-10 18:28:35,aborted,420
BCH-00122,PLT-001,2024-03-11 11:29:51,2024-03-11 18:43:16,completed,420
BCH-00123,PLT-001,2024-03-11 16:16:18,2024-03-11 23:16:18,completed,420
BCH-00124,PLT-001,2024-03-12 00:55:01,2024-03-12 08:18:22,completed,420
BCH-00125,PLT-001,2024-03-12 03:41:49,2024-03-12 11:05:15,completed,420
BCH-00126,PLT-001,2024-03-13 18:13:37,2024-03-14 01:13:37,completed,420
BCH-00127,PLT-001,2024-03-13 20:47:06,2024-03-14 03:47:06,completed,420
BCH-00128,PLT-001,2024-03-13 22:48:16,2024-03-14 06:39:07,completed,420
BCH-00129,PLT-001,2024-03-14 14:28:26,2024-03-14 21:28:26,completed,420
BCH-00130,PLT-001,2024-03-15 11:53:01,2024-03-15 19:07:46,completed,420
BCH-00131,PLT-001,2024-03-15 17:40:35,2024-03-16 01:08:39,completed,420
BCH-00132,PLT-001,2024-03-16 16:12:52,2024-03-16 23:12:52,completed,420
BCH-00133,PLT-001,2024-03-17 15:36:19,2024-03-17 15:51:39,aborted,420
BCH-00134,PLT-001,2024-03-17 20:35:23,2024-03-18 04:01:37,completed,420
BCH-00135,PLT-001,2024-03-18 04:31:18,2024-03-18 11:31:18,completed,420
BCH-00136,PLT-001,2024-03-18 10:27:02,2024-03-18 19:16:34,completed,420
BCH-00137,PLT-001,2024-03-18 11:39:28,2024-03-18 18:44:48,completed,420
BCH-00138,PLT-001,2024-03-18 14:28:22,2024-03-18 22:49:30,completed,420
BCH-00139,PLT-001,2024-03-18 23:31:35,2024-03-19 06:31:35,completed,420
BCH-00140,PLT-001,2024-03-19 04:18:52,2024-03-19 11:18:52,completed,420
BCH-00141,PLT-001,2024-03-19 04:42:58,2024-03-19 14:52:15,completed,420
BCH-00142,PLT-001,2024-03-19 09:00:01,2024-03-19 17:00:24,completed,420
BCH-00143,PLT-001,2024-03-20 03:47:54,2024-03-20 18:32:28,completed,420
BCH-00144,PLT-001,2024-03-20 17:37:32,2024-03-21 00:42:32,completed,420
BCH-00145,PLT-001,2024-03-20 23:31:10,2024-03-21 06:31:10,completed,420
BCH-00146,PLT-001,2024-03-21 05:29:43,2024-03-21 06:22:47,aborted,420
BCH-00147,PLT-001,2024-03-21 06:22:41,2024-03-21 13:27:41,completed,420
BCH-00148,PLT-001,2024-03-21 13:20:33,2024-03-21 20:20:33,completed,420
BCH-00149,PLT-001,2024-03-21 15:17:46,2024-03-21 15:28:47,aborted,420
BCH-00150,PLT-001,2024-03-21 16:09:16,2024-03-22 00:30:04,completed,420
BCH-00151,PLT-001,2024-03-22 01:24:42,2024-03-22 09:45:00,completed,420
BCH-00152,PLT-001,2024-03-22 08:44:23,2024-03-22 16:04:39,completed,420
BCH-00153,PLT-001,2024-03-22 15:32:25,2024-03-22 22:32:25,completed,420
BCH-00154,PLT-001,2024-03-23 04:03:18,2024-03-23 12:28:39,completed,420
BCH-00155,PLT-001,2024-03-23 04:33:03,2024-03-23 13:51:08,completed,420
BCH-00156,PLT-001,2024-03-24 04:55:57,2024-03-24 12:32:38,completed,420
BCH-00157,PLT-001,2024-03-24 05:54:56,2024-03-24 07:59:51,aborted,420
BCH-00158,PLT-001,2024-03-24 08:33:56,2024-03-24 15:45:42,completed,420
BCH-00159,PLT-001,2024-03-24 17:41:54,2024-03-25 00:41:54,completed,420
BCH-00160,PLT-001,2024-03-24 18:37:43,2024-03-25 03:37:04,completed,420
BCH-00161,PLT-001,2024-03-25 03:57:50,2024-03-25 11:12:13,completed,420
BCH-00162,PLT-001,2024-03-25 14:00:01,2024-03-25 21:05:01,completed,420
BCH-00163,PLT-001,2024-03-26 03:23:09,2024-03-26 11:27:47,completed,420
BCH-00164,PLT-001,2024-03-27 00:30:16,2024-03-27 02:45:16,aborted,420
BCH-00165,PLT-001,2024-03-28 01:00:59,2024-03-28 08:00:59,completed,420
BCH-00166,PLT-001,2024-03-28 06:58:46,2024-03-28 09:03:41,aborted,420
BCH-00167,PLT-001,2024-03-30 04:17:34,2024-03-30 12:55:02,completed,420
BCH-00168,PLT-001,2024-03-30 05:21:06,2024-03-30 08:37:53,aborted,420
BCH-00169,PLT-001,2024-03-30 12:51:43,2024-03-30 20:16:28,completed,420
BCH-00170,PLT-001,2024-03-31 00:52:36,2024-03-31 10:01:49,completed,420
BCH-00171,PLT-001,2024-03-31 04:29:02,2024-03-31 11:35:02,completed,420
BCH-00172,PLT-001,2024-03-31 09:50:31,2024-03-31 17:17:42,completed,420
BCH-00173,PLT-001,2024-03-31 22:14:24,2024-04-01 05:14:24,completed,420
BCH-00174,PLT-001,2024-04-01 02:59:00,2024-04-01 10:14:57,completed,420
BCH-00175,PLT-001,2024-04-01 05:53:03,2024-04-01 13:22:55,completed,420
BCH-00176,PLT-001,2024-04-01 08:18:21,2024-04-01 15:23:21,completed,420
BCH-00177,PLT-001,2024-04-01 22:17:05,2024-04-02 05:17:05,completed,420
BCH-00178,PLT-001,2024-04-02 05:52:49,2024-04-02 12:52:49,completed,420
BCH-00179,PLT-001,2024-04-03 03:19:52,2024-04-03 12:31:01,completed,420
BCH-00180,PLT-001,2024-04-04 18:26:39,2024-04-05 01:26:39,completed,420
BCH-00181,PLT-001,2024-04-05 18:37:56,2024-04-06 04:39:30,completed,420
BCH-00182,PLT-001,2024-04-06 01:30:52,2024-04-06 09:26:44,completed,420
BCH-00183,PLT-001,2024-04-06 07:10:51,2024-04-06 14:22:41,completed,420
BCH-00184,PLT-001,2024-04-06 12:23:13,2024-04-06 21:16:23,completed,420
BCH-00185,PLT-001,2024-04-06 20:13:52,2024-04-07 04:25:13,completed,420
BCH-00186,PLT-001,2024-04-06 21:46:32,2024-04-07 04:46:32,completed,420
BCH-00187,PLT-001,2024-04-06 23:02:02,2024-04-07 07:11:19,completed,420
BCH-00188,PLT-001,2024-04-06 23:03:25,2024-04-07 06:03:25,completed,420
BCH-00189,PLT-001,2024-04-07 01:21:41,2024-04-07 09:21:30,completed,420
BCH-00190,PLT-001,2024-04-07 13:05:00,2024-04-07 21:38:22,completed,420
BCH-00191,PLT-001,2024-04-07 13:15:14,2024-04-07 22:53:28,completed,420
BCH-00192,PLT-001,2024-04-07 14:35:23,2024-04-07 22:42:35,completed,420
BCH-00193,PLT-001,2024-04-07 21:16:05,2024-04-08 04:47:05,completed,420
BCH-00194,PLT-001,2024-04-08 02:59:51,2024-04-08 11:46:11,completed,420
BCH-00195,PLT-001,2024-04-08 17:45:40,2024-04-09 01:44:49,completed,420
BCH-00196,PLT-001,2024-04-09 01:03:38,2024-04-09 08:52:10,completed,420
BCH-00197,PLT-001,2024-04-09 08:03:02,2024-04-09 15:03:02,completed,420
BCH-00198,PLT-001,2024-04-09 13:35:29,2024-04-09 20:35:29,completed,420
BCH-00199,PLT-001,2024-04-10 06:46:21,2024-04-10 14:04:36,completed,420
BCH-00200,PLT-001,2024-04-10 09:16:36,2024-04-10 16:16:36,completed,420
BCH-00201,PLT-001,2024-04-10 13:03:23,2024-04-10 20:33:24,completed,420
BCH-00202,PLT-001,2024-04-10 23:54:09,2024-04-11 08:11:22,completed,420
BCH-00203,PLT-001,2024-04-11 03:30:19,2024-04-11 10:25:44,aborted,420
BCH-00204,PLT-001,2024-04-11 14:49:29,2024-04-11 22:16:05,completed,420
BCH-00205,PLT-001,2024-04-11 19:49:37,2024-04-12 04:07:24,completed,420
BCH-00206,PLT-001,2024-04-12 00:54:06,2024-04-12 08:36:17,completed,420
BCH-00207,PLT-001,2024-04-13 10:48:16,2024-04-13 17:53:16,completed,420
BCH-00208,PLT-001,2024-04-14 10:41:33,2024-04-14 17:51:06,completed,420
BCH-00209,PLT-001,2024-04-14 21:04:07,2024-04-15 05:10:32,completed,420
BCH-00210,PLT-001,2024-04-15 18:43:24,2024-04-16 03:12:14,completed,420
BCH-00211,PLT-001,2024-04-18 01:34:27,2024-04-18 09:05:31,completed,420
BCH-00212,PLT-001,2024-04-18 10:47:12,2024-04-18 18:15:12,completed,420
BCH-00213,PLT-001,2024-04-19 01:59:19,2024-04-19 08:59:19,completed,420
BCH-00214,PLT-001,2024-04-19 10:09:46,2024-04-19 11:51:50,aborted,420
BCH-00215,PLT-001,2024-04-19 15:34:27,2024-04-20 00:22:04,completed,420
BCH-00216,PLT-001,2024-04-19 18:25:13,2024-04-20 01:25:13,completed,420
BCH-00217,PLT-001,2024-04-19 23:54:47,2024-04-20 06:54:47,completed,420
BCH-00218,PLT-001,2024-04-21 01:10:06,2024-04-21 09:47:51,completed,420
BCH-00219,PLT-001,2024-04-21 13:01:49,2024-04-21 19:47:20,aborted,420
BCH-00220,PLT-001,2024-04-21 21:54:54,2024-04-22 05:01:44,completed,420
BCH-00221,PLT-001,2024-04-22 09:21:49,2024-04-22 18:18:31,completed,420
BCH-00222,PLT-001,2024-04-22 15:52:37,2024-04-22 23:10:08,completed,420
BCH-00223,PLT-001,2024-04-23 00:51:33,2024-04-23 09:42:22,completed,420
BCH-00224,PLT-001,2024-04-23 22:08:27,2024-04-24 05:32:58,completed,420
BCH-00225,PLT-001,2024-04-24 00:14:59,2024-04-24 08:07:38,completed,420
BCH-00226,PLT-001,2024-04-24 15:18:13,2024-04-24 22:38:40,completed,420
BCH-00227,PLT-001,2024-04-24 17:23:23,2024-04-24 17:41:26,aborted,420
BCH-00228,PLT-001,2024-04-25 00:03:38,2024-04-25 07:57:37,completed,420
BCH-00229,PLT-001,2024-04-25 06:50:42,2024-04-25 17:08:05,completed,420
BCH-00230,PLT-001,2024-04-25 13:10:58,2024-04-25 23:31:29,completed,420
BCH-00231,PLT-001,2024-04-26 20:05:53,2024-04-27 03:43:26,completed,420
BCH-00232,PLT-001,2024-04-28 11:00:49,2024-04-28 20:47:27,completed,420
BCH-00233,PLT-001,2024-04-29 10:33:16,2024-04-29 19:06:40,completed,420
BCH-00234,PLT-001,2024-04-29 22:56:54,2024-04-30 09:47:44,completed,420
BCH-00235,PLT-001,2024-04-30 15:54:38,2024-05-01 00:34:45,completed,420
BCH-00236,PLT-001,2024-04-30 21:05:07,2024-04-30 21:56:00,aborted,420
BCH-00237,PLT-001,2024-05-01 09:17:13,2024-05-01 16:29:43,completed,420
BCH-00238,PLT-001,2024-05-02 11:34:03,2024-05-02 19:22:34,completed,420
BCH-00239,PLT-001,2024-05-02 19:48:20,2024-05-03 02:48:20,completed,420
BCH-00240,PLT-001,2024-05-02 23:52:31,2024-05-03 07:54:50,completed,420
BCH-00241,PLT-001,2024-05-03 12:55:29,2024-05-03 22:12:56,completed,420
BCH-00242,PLT-001,2024-05-03 23:34:35,2024-05-04 08:21:13,completed,420
BCH-00243,PLT-001,2024-05-04 07:52:21,2024-05-04 14:52:21,completed,420
BCH-00244,PLT-001,2024-05-04 08:38:43,2024-05-04 16:44:30,completed,420
BCH-00245,PLT-001,2024-05-04 16:27:18,2024-05-05 02:26:04,completed,420
BCH-00246,PLT-001,2024-05-06 20:43:38,2024-05-07 03:43:38,completed,420
BCH-00247,PLT-001,2024-05-07 20:51:10,2024-05-07 23:07:50,aborted,420
BCH-00248,PLT-001,2024-05-08 12:35:34,2024-05-08 23:11:14,completed,420
BCH-00249,PLT-001,2024-05-13 01:39:58,2024-05-13 09:52:10,completed,420
BCH-00250,PLT-001,2024-05-13 07:00:40,2024-05-13 14:21:00,completed,420
BCH-00251,PLT-001,2024-05-15 00:06:03,2024-05-15 07:20:45,completed,420
BCH-00252,PLT-001,2024-05-15 05:49:25,2024-05-15 14:09:32,completed,420
BCH-00253,PLT-001,2024-05-15 09:14:10,2024-05-15 18:21:12,completed,420
BCH-00254,PLT-001,2024-05-18 06:55:58,2024-05-18 13:55:58,completed,420
BCH-00255,PLT-001,2024-05-18 10:46:21,2024-05-18 19:10:29,completed,420
BCH-00256,PLT-001,2024-05-18 10:54:51,2024-05-18 18:11:00,completed,420
BCH-00257,PLT-001,2024-05-18 11:55:01,2024-05-18 21:32:09,completed,420
BCH-00258,PLT-001,2024-05-18 12:06:45,2024-05-18 19:06:45,completed,420
BCH-00259,PLT-001,2024-05-18 14:59:38,2024-05-18 15:54:37,aborted,420
BCH-00260,PLT-001,2024-05-18 23:05:41,2024-05-19 09:02:05,completed,420
BCH-00261,PLT-001,2024-05-19 09:55:55,2024-05-19 17:44:48,completed,420
BCH-00262,PLT-001,2024-05-20 17:13:49,2024-05-21 02:36:30,aborted,420
BCH-00263,PLT-001,2024-05-23 22:27:55,2024-05-24 07:07:28,completed,420
BCH-00264,PLT-001,2024-05-24 12:34:13,2024-05-24 20:30:31,completed,420
BCH-00265,PLT-001,2024-05-24 13:55:03,2024-05-24 19:40:24,aborted,420
BCH-00266,PLT-001,2024-05-24 21:31:10,2024-05-25 07:26:53,completed,420
BCH-00267,PLT-001,2024-05-25 21:33:11,2024-05-26 01:05:51,aborted,420
BCH-00268,PLT-001,2024-05-25 23:59:06,2024-05-26 07:42:03,completed,420
BCH-00269,PLT-001,2024-05-26 08:59:29,2024-05-26 17:22:15,completed,420
BCH-00270,PLT-001,2024-05-26 11:54:16,2024-05-26 23:04:05,completed,420
BCH-00271,PLT-001,2024-05-26 23:48:29,2024-05-27 06:53:29,completed,420
BCH-00272,PLT-001,2024-05-27 01:44:29,2024-05-27 09:39:45,completed,420
BCH-00273,PLT-001,2024-05-27 16:34:46,2024-05-28 00:41:47,completed,420
BCH-00274,PLT-001,2024-05-28 10:36:53,2024-05-28 20:39:19,completed,420
BCH-00275,PLT-001,2024-05-28 21:18:34,2024-05-29 04:36:21,completed,420
BCH-00276,PLT-001,2024-05-29 04:15:17,2024-05-29 10:57:34,aborted,420
BCH-00277,PLT-001,2024-05-31 09:11:15,2024-05-31 18:13:45,completed,420
BCH-00278,PLT-001,2024-05-31 20:51:21,2024-06-01 07:18:17,completed,420
BCH-00279,PLT-001,2024-06-02 01:16:27,2024-06-02 08:21:27,completed,420
BCH-00280,PLT-001,2024-06-02 03:03:23,2024-06-02 10:45:42,completed,420
BCH-00281,PLT-001,2024-06-02 11:05:45,2024-06-02 18:16:37,completed,420
BCH-00282,PLT-001,2024-06-02 13:44:46,2024-06-03 00:03:01,completed,420
BCH-00283,PLT-001,2024-06-03 02:18:29,2024-06-03 07:38:11,aborted,420
BCH-00284,PLT-001,2024-06-03 02:39:35,2024-06-03 13:08:18,completed,420
BCH-00285,PLT-001,2024-06-03 04:44:38,2024-06-03 11:44:38,completed,420
BCH-00286,PLT-001,2024-06-03 12:09:41,2024-06-03 19:09:41,completed,420
BCH-00287,PLT-001,2024-06-03 13:18:11,2024-06-03 22:04:42,completed,420
BCH-00288,PLT-001,2024-06-03 17:08:06,2024-06-04 03:25:45,completed,420
BCH-00289,PLT-001,2024-06-03 17:09:36,2024-06-04 01:07:09,completed,420
BCH-00290,PLT-001,2024-06-04 06:52:46,2024-06-04 13:52:46,completed,420
BCH-00291,PLT-001,2024-06-04 10:00:33,2024-06-04 15:48:05,aborted,420
BCH-00292,PLT-001,2024-06-05 05:06:57,2024-06-05 15:41:50,completed,420
BCH-00293,PLT-001,2024-06-05 11:09:51,2024-06-05 20:15:24,completed,420
BCH-00294,PLT-001,2024-06-06 00:22:51,2024-06-06 07:22:51,completed,420
BCH-00295,PLT-001,2024-06-06 10:33:35,2024-06-06 14:57:38,aborted,420
BCH-00296,PLT-001,2024-06-07 17:18:07,2024-06-08 00:49:04,completed,420
BCH-00297,PLT-001,2024-06-07 19:03:55,2024-06-07 23:52:36,aborted,420
BCH-00298,PLT-001,2024-06-08 01:23:00,2024-06-08 08:23:00,completed,420
BCH-00299,PLT-001,2024-06-08 02:08:52,2024-06-08 12:42:53,completed,420
BCH-00300,PLT-001,2024-06-08 04:26:11,2024-06-08 12:53:21,completed,420
BCH-00301,PLT-001,2024-06-09 00:15:06,2024-06-09 10:48:17,completed,420
BCH-00302,PLT-001,2024-06-09 20:58:58,2024-06-10 05:46:44,completed,420
BCH-00303,PLT-001,2024-06-10 11:46:57,2024-06-10 18:46:57,completed,420
BCH-00304,PLT-001,2024-06-10 20:16:49,2024-06-11 03:33:45,completed,420
BCH-00305,PLT-001,2024-06-12 20:15:56,2024-06-13 03:15:56,completed,420
BCH-00306,PLT-001,2024-06-14 16:59:23,2024-06-14 17:22:13,aborted,420
BCH-00307,PLT-001,2024-06-15 04:13:59,2024-06-15 12:53:59,completed,420
BCH-00308,PLT-001,2024-06-15 16:57:14,2024-06-16 01:39:53,aborted,420
BCH-00309,PLT-001,2024-06-16 08:54:53,2024-06-16 16:50:25,completed,420
BCH-00310,PLT-001,2024-06-16 13:52:17,2024-06-16 23:13:03,completed,420
BCH-00311,PLT-001,2024-06-17 02:34:26,2024-06-17 10:25:07,completed,420
BCH-00312,PLT-001,2024-06-17 14:47:05,2024-06-17 22:14:22,aborted,420
BCH-00313,PLT-001,2024-06-18 17:07:42,2024-06-19 01:02:32,completed,420
BCH-00314,PLT-001,2024-06-18 19:34:35,2024-06-19 05:31:11,completed,420
BCH-00315,PLT-001,2024-06-19 13:23:59,2024-06-19 21:09:43,completed,420
