log_id,batch_id,equip_id,plant_id,process_step,step_start,step_end,ideal_duration_minutes,actual_duration_minutes,downtime_minutes,outcome,run_time_minutes,availability,performance,quality,oee
LOG-000028,BCH-00007,EQ-104,PLT-001,Step 4 – Coating,2024-01-03 19:29:17,2024-01-03 21:59:17,150,150.0,0.0,completed,150.0,0.9769,1.0,0.9709,0.9485
LOG-000029,BCH-00008,EQ-101,PLT-001,Step 1 – Granulation,2024-01-04 02:28:04,2024-01-04 03:58:04,90,90.0,0.0,completed,90.0,0.9696,0.9933,0.9984,0.9616
LOG-000030,BCH-00008,EQ-102,PLT-001,Step 2 – Blending,2024-01-04 03:58:04,2024-01-04 04:58:04,60,60.0,0.0,completed,60.0,0.9789,1.0,1.0,0.9789
LOG-000031,BCH-00008,EQ-103,PLT-001,Step 3 – Compression,2024-01-04 04:58:04,2024-01-04 06:58:04,120,120.0,0.0,completed,120.0,1.0,1.0,1.0,1.0
LOG-000032,BCH-00008,EQ-104,PLT-001,Step 4 – Coating,2024-01-04 06:58:04,2024-01-04 09:28:04,150,150.0,0.0,completed,150.0,0.9903,0.9776,0.9867,0.9552
LOG-000033,BCH-00009,EQ-101,PLT-001,Step 1 – Granulation,2024-01-04 18:37:45,2024-01-04 20:07:45,90,90.0,0.0,completed,90.0,0.9779,0.98,1.0,0.9583
LOG-000034,BCH-00009,EQ-102,PLT-001,Step 2 – Blending,2024-01-04 20:07:45,2024-01-04 21:07:45,60,60.0,0.0,completed,60.0,1.0,1.0,0.9998,0.9998
LOG-000035,BCH-00009,EQ-103,PLT-001,Step 3 – Compression,2024-01-04 21:07:45,2024-01-04 23:07:45,120,120.0,0.0,completed,120.0,0.9813,0.9976,0.9875,0.9667
LOG-000036,BCH-00009,EQ-104,PLT-001,Step 4 – Coating,2024-01-04 23:07:45,2024-01-05 01:37:45,150,150.0,0.0,completed,150.0,1.0,0.9914,1.0,0.9914
LOG-000037,BCH-00010,EQ-101,PLT-001,Step 1 – Granulation,2024-01-04 22:50:33,2024-01-05 00:20:33,90,90.0,0.0,completed,90.0,1.0,1.0,1.0,1.0
LOG-000038,BCH-00010,EQ-102,PLT-001,Step 2 – Blending,2024-01-05 00:20:33,2024-01-05 01:20:33,60,60.0,0.0,completed,60.0,0.9998,1.0,0.9786,0.9784
LOG-000039,BCH-00010,EQ-103,PLT-001,Step 3 – Compression,2024-01-05 01:20:33,2024-01-05 03:20:33,120,120.0,0.0,completed,120.0,0.9564,1.0,0.9759,0.9334
LOG-000040,BCH-00010,EQ-104,PLT-001,Step 4 – Coating,2024-01-05 03:20:33,2024-01-05 05:50:33,150,150.0,0.0,completed,150.0,1.0,0.9749,1.0,0.9749
LOG-000041,BCH-00011,EQ-101,PLT-001,Step 1 – Granulation,2024-01-05 10:28:54,2024-01-05 12:10:16,90,101.4,11.4,completed,90.0,0.9662,0.9505,1.0,0.9184
LOG-000042,BCH-00011,EQ-102,PLT-001,Step 2 – Blending,2024-01-05 12:10:16,2024-01-05 13:10:16,60,60.0,0.0,completed,60.0,1.0,1.0,0.9909,0.9909
LOG-000043,BCH-00011,EQ-103,PLT-001,Step 3 – Compression,2024-01-05 13:10:16,2024-01-05 15:10:16,120,120.0,0.0,completed,120.0,1.0,1.0,0.9889,0.9889
LOG-000044,BCH-00011,EQ-104,PLT-001,Step 4 – Coating,2024-01-05 15:10:16,2024-01-05 17:40:16,150,150.0,0.0,completed,150.0,1.0,0.9758,1.0,0.9758
LOG-000045,BCH-00012,EQ-101,PLT-001,Step 1 – Granulation,2024-01-06 09:49:35,2024-01-06 11:19:35,90,90.0,0.0,completed,90.0,0.9715,0.9853,0.9764,0.9346
LOG-000046,BCH-00012,EQ-102,PLT-001,Step 2 – Blending,2024-01-06 11:19:35,2024-01-06 12:19:35,60,60.0,0.0,completed,60.0,0.9761,0.9867,0.9429,0.9081
LOG-000047,BCH-00012,EQ-103,PLT-001,Step 3 – Compression,2024-01-06 12:19:35,2024-01-06 14:19:35,120,120.0,0.0,completed,120.0,0.9792,1.0,0.9946,0.9739
LOG-000048,BCH-00012,EQ-104,PLT-001,Step 4 – Coating,2024-01-06 14:19:35,2024-01-06 16:49:35,150,150.0,0.0,completed,150.0,0.9756,0.9897,0.9948,0.9605
LOG-000049,BCH-00013,EQ-101,PLT-001,Step 1 – Granulation,2024-01-08 07:38:33,2024-01-08 09:08:33,90,90.0,0.0,completed,90.0,1.0,0.9843,1.0,0.9843
LOG-000050,BCH-00013,EQ-102,PLT-001,Step 2 – Blending,2024-01-08 09:08:33,2024-01-08 10:08:33,60,60.0,0.0,completed,60.0,0.9714,0.9844,1.0,0.9562
LOG-000051,BCH-00013,EQ-103,PLT-001,Step 3 – Compression,2024-01-08 10:08:33,2024-01-08 12:08:33,120,120.0,0.0,completed,120.0,0.9838,0.9937,1.0,0.9776
LOG-000052,BCH-00013,EQ-104,PLT-001,Step 4 – Coating,2024-01-08 12:08:33,2024-01-08 14:38:33,150,150.0,0.0,completed,150.0,0.9567,0.9949,0.9941,0.9462
LOG-000053,BCH-00014,EQ-101,PLT-001,Step 1 – Granulation,2024-01-08 08:27:37,2024-01-08 09:57:37,90,90.0,0.0,completed,90.0,1.0,1.0,1.0,1.0
LOG-000054,BCH-00014,EQ-102,PLT-001,Step 2 – Blending,2024-01-08 09:57:37,2024-01-08 10:57:37,60,60.0,0.0,completed,60.0,0.9879,1.0,1.0,0.9879
LOG-000055,BCH-00014,EQ-103,PLT-001,Step 3 – Compression,2024-01-08 10:57:37,2024-01-08 12:57:37,120,120.0,0.0,completed,120.0,1.0,0.9685,0.9904,0.9592
LOG-000056,BCH-00014,EQ-104,PLT-001,Step 4 – Coating,2024-01-08 12:57:37,2024-01-08 15:27:37,150,150.0,0.0,completed,150.0,1.0,0.9835,1.0,0.9835
LOG-000057,BCH-00015,EQ-101,PLT-001,Step 1 – Granulation,2024-01-08 16:21:57,2024-01-08 17:51:57,90,90.0,0.0,completed,90.0,0.9569,0.988,0.9702,0.9172
LOG-000058,BCH-00015,EQ-102,PLT-001,Step 2 – Blending,2024-01-08 17:51:57,2024-01-08 18:51:57,60,60.0,0.0,completed,60.0,0.9909,0.9778,0.985,0.9544
LOG-000059,BCH-00015,EQ-103,PLT-001,Step 3 – Compression,2024-01-08 18:51:57,2024-01-08 20:51:57,120,120.0,0.0,completed,120.0,0.9685,1.0,0.9865,0.9554
LOG-000060,BCH-00015,EQ-104,PLT-001,Step 4 – Coating,2024-01-08 20:51:57,2024-01-08 23:21:57,150,150.0,0.0,completed,150.0,0.9912,1.0,0.9835,0.9748
LOG-000061,BCH-00016,EQ-101,PLT-001,Step 1 – Granulation,2024-01-09 21:06:40,2024-01-09 22:36:40,90,90.0,0.0,completed,90.0,0.9731,0.9751,1.0,0.9489
LOG-000062,BCH-00016,EQ-102,PLT-001,Step 2 – Blending,2024-01-09 22:36:40,2024-01-09 23:36:40,60,60.0,0.0,completed,60.0,1.0,0.9861,1.0,0.9861
LOG-000063,BCH-00016,EQ-103,PLT-001,Step 3 – Compression,2024-01-09 23:36:40,2024-01-10 01:36:40,120,120.0,0.0,completed,120.0,1.0,1.0,1.0,1.0
LOG-000064,BCH-00016,EQ-104,PLT-001,Step 4 – Coating,2024-01-10 01:36:40,2024-01-10 04:06:40,150,150.0,0.0,completed,150.0,0.9848,1.0,0.9722,0.9574
LOG-000065,BCH-00017,EQ-101,PLT-001,Step 1 – Granulation,2024-01-10 03:46:15,2024-01-10 05:16:15,90,90.0,0.0,completed,90.0,0.9877,0.9729,0.9996,0.9605
LOG-000066,BCH-00017,EQ-102,PLT-001,Step 2 – Blending,2024-01-10 05:16:15,2024-01-10 06:16:15,60,60.0,0.0,completed,60.0,0.9402,0.9942,1.0,0.9347
LOG-000067,BCH-00017,EQ-103,PLT-001,Step 3 – Compression,2024-01-10 06:16:15,2024-01-10 08:16:15,120,120.0,0.0,completed,120.0,0.9524,0.9717,1.0,0.9254
LOG-000068,BCH-00017,EQ-104,PLT-001,Step 4 – Coating,2024-01-10 08:16:15,2024-01-10 10:46:15,150,150.0,0.0,completed,150.0,0.9918,1.0,0.9583,0.9504
LOG-000069,BCH-00018,EQ-101,PLT-001,Step 1 – Granulation,2024-01-10 06:55:48,2024-01-10 07:23:37,90,27.8,0.0,aborted,27.8,0.984,0.972,0.665,0.636
LOG-000070,BCH-00019,EQ-101,PLT-001,Step 1 – Granulation,2024-01-10 08:53:38,2024-01-10 10:23:38,90,90.0,0.0,completed,90.0,0.9925,0.9852,0.9938,0.9717
LOG-000071,BCH-00019,EQ-102,PLT-001,Step 2 – Blending,2024-01-10 10:23:38,2024-01-10 11:23:38,60,60.0,0.0,completed,60.0,0.9716,0.9762,1.0,0.9485
LOG-000072,BCH-00019,EQ-103,PLT-001,Step 3 – Compression,2024-01-10 11:23:38,2024-01-10 13:23:38,120,120.0,0.0,completed,120.0,0.9929,0.9676,0.9647,0.9268
LOG-000073,BCH-00019,EQ-104,PLT-001,Step 4 – Coating,2024-01-10 13:23:38,2024-01-10 15:53:38,150,150.0,0.0,completed,150.0,0.9346,0.9775,0.9851,0.9
LOG-000074,BCH-00020,EQ-101,PLT-001,Step 1 – Granulation,2024-01-10 14:44:15,2024-01-10 16:25:32,90,101.3,11.3,completed,90.0,0.9396,0.9462,0.9863,0.8769
LOG-000075,BCH-00020,EQ-102,PLT-001,Step 2 – Blending,2024-01-10 16:25:32,2024-01-10 17:25:32,60,60.0,0.0,completed,60.0,0.9917,1.0,0.9622,0.9542
LOG-000076,BCH-00020,EQ-103,PLT-001,Step 3 – Compression,2024-01-10 17:25:32,2024-01-10 19:25:32,120,120.0,0.0,completed,120.0,1.0,0.9748,0.9926,0.9676
LOG-000077,BCH-00020,EQ-104,PLT-001,Step 4 – Coating,2024-01-10 19:25:32,2024-01-10 21:55:32,150,150.0,0.0,completed,150.0,0.9844,0.9844,0.9959,0.9651
LOG-000078,BCH-00021,EQ-101,PLT-001,Step 1 – Granulation,2024-01-10 22:14:34,2024-01-10 23:44:34,90,90.0,0.0,completed,90.0,0.9964,0.9684,0.9858,0.9512
LOG-000079,BCH-00021,EQ-102,PLT-001,Step 2 – Blending,2024-01-10 23:44:34,2024-01-11 00:44:34,60,60.0,0.0,completed,60.0,0.969,1.0,1.0,0.969
LOG-000080,BCH-00021,EQ-103,PLT-001,Step 3 – Compression,2024-01-11 00:44:34,2024-01-11 02:44:34,120,120.0,0.0,completed,120.0,0.9908,1.0,0.982,0.973
LOG-000081,BCH-00021,EQ-104,PLT-001,Step 4 – Coating,2024-01-11 02:44:34,2024-01-11 05:14:34,150,150.0,0.0,completed,150.0,0.9765,0.9996,0.9987,0.9748
LOG-000082,BCH-00022,EQ-101,PLT-001,Step 1 – Granulation,2024-01-11 02:00:37,2024-01-11 03:30:37,90,90.0,0.0,completed,90.0,1.0,0.9803,0.9961,0.9765
LOG-000083,BCH-00022,EQ-102,PLT-001,Step 2 – Blending,2024-01-11 03:30:37,2024-01-11 04:51:50,60,81.2,21.2,completed,60.0,0.9006,0.893,1.0,0.8042
LOG-000084,BCH-00022,EQ-103,PLT-001,Step 3 – Compression,2024-01-11 04:51:50,2024-01-11 06:51:50,120,120.0,0.0,completed,120.0,0.9823,0.9677,0.9782,0.9298
LOG-000085,BCH-00022,EQ-104,PLT-001,Step 4 – Coating,2024-01-11 06:51:50,2024-01-11 09:21:50,150,150.0,0.0,completed,150.0,0.9968,1.0,0.994,0.9908
LOG-000086,BCH-00023,EQ-101,PLT-001,Step 1 – Granulation,2024-01-11 03:11:49,2024-01-11 04:41:49,90,90.0,0.0,completed,90.0,0.9955,0.979,1.0,0.9746
LOG-000087,BCH-00023,EQ-102,PLT-001,Step 2 – Blending,2024-01-11 04:41:49,2024-01-11 05:41:49,60,60.0,0.0,completed,60.0,0.979,0.9999,1.0,0.9789
LOG-000088,BCH-00023,EQ-103,PLT-001,Step 3 – Compression,2024-01-11 05:41:49,2024-01-11 07:41:49,120,120.0,0.0,completed,120.0,0.9941,0.9669,1.0,0.9612
LOG-000089,BCH-00023,EQ-104,PLT-001,Step 4 – Coating,2024-01-11 07:41:49,2024-01-11 10:11:49,150,150.0,0.0,completed,150.0,0.9646,0.9791,0.9865,0.9317
LOG-000090,BCH-00024,EQ-101,PLT-001,Step 1 – Granulation,2024-01-11 17:10:56,2024-01-11 18:40:56,90,90.0,0.0,completed,90.0,0.9859,0.9734,1.0,0.9597
LOG-000091,BCH-00024,EQ-102,PLT-001,Step 2 – Blending,2024-01-11 18:40:56,2024-01-11 19:40:56,60,60.0,0.0,completed,60.0,0.9983,0.9726,0.9778,0.9494
LOG-000092,BCH-00024,EQ-103,PLT-001,Step 3 – Compression,2024-01-11 19:40:56,2024-01-11 21:40:56,120,120.0,0.0,completed,120.0,0.977,0.9519,0.9752,0.9069
LOG-000093,BCH-00024,EQ-104,PLT-001,Step 4 – Coating,2024-01-11 21:40:56,2024-01-12 00:10:56,150,150.0,0.0,completed,150.0,0.9729,0.9595,1.0,0.9335
LOG-000094,BCH-00025,EQ-101,PLT-001,Step 1 – Granulation,2024-01-11 20:01:30,2024-01-11 22:55:57,90,174.4,84.4,completed,90.0,0.8289,0.862,0.9952,0.7111
LOG-000095,BCH-00025,EQ-102,PLT-001,Step 2 – Blending,2024-01-11 22:55:57,2024-01-11 23:55:57,60,60.0,0.0,completed,60.0,0.9531,0.9635,1.0,0.9183
LOG-000096,BCH-00025,EQ-103,PLT-001,Step 3 – Compression,2024-01-11 23:55:57,2024-01-12 01:55:57,120,120.0,0.0,completed,120.0,0.9933,0.9958,0.9497,0.9394
LOG-000097,BCH-00025,EQ-104,PLT-001,Step 4 – Coating,2024-01-12 01:55:57,2024-01-12 05:33:57,150,218.0,68.0,completed,150.0,0.8801,0.8925,0.9941,0.7809
LOG-000098,BCH-00026,EQ-101,PLT-001,Step 1 – Granulation,2024-01-12 02:47:06,2024-01-12 04:22:06,90,95.0,5.0,completed,90.0,0.982,0.9644,0.9858,0.9336
LOG-000099,BCH-00026,EQ-102,PLT-001,Step 2 – Blending,2024-01-12 04:22:06,2024-01-12 05:22:06,60,60.0,0.0,completed,60.0,0.9813,0.9734,0.9926,0.9481
LOG-000100,BCH-00026,EQ-103,PLT-001,Step 3 – Compression,2024-01-12 05:22:06,2024-01-12 07:22:06,120,120.0,0.0,completed,120.0,0.9957,0.9807,0.994,0.9706
LOG-000101,BCH-00026,EQ-104,PLT-001,Step 4 – Coating,2024-01-12 07:22:06,2024-01-12 09:52:06,150,150.0,0.0,completed,150.0,0.9513,0.9952,0.9748,0.9229
LOG-000102,BCH-00027,EQ-101,PLT-001,Step 1 – Granulation,2024-01-12 22:56:28,2024-01-13 00:26:28,90,90.0,0.0,completed,90.0,0.9588,0.9597,1.0,0.9202
LOG-000103,BCH-00027,EQ-102,PLT-001,Step 2 – Blending,2024-01-13 00:26:28,2024-01-13 01:34:16,60,67.8,7.8,completed,60.0,0.9333,0.9461,0.969,0.8556
LOG-000104,BCH-00027,EQ-103,PLT-001,Step 3 – Compression,2024-01-13 01:34:16,2024-01-13 03:34:16,120,120.0,0.0,completed,120.0,1.0,0.991,0.9763,0.9675
LOG-000105,BCH-00027,EQ-104,PLT-001,Step 4 – Coating,2024-01-13 03:34:16,2024-01-13 06:10:33,150,156.3,6.3,completed,150.0,0.9744,0.982,1.0,0.9569
LOG-000106,BCH-00028,EQ-101,PLT-001,Step 1 – Granulation,2024-01-17 23:03:18,2024-01-18 00:33:18,90,90.0,0.0,completed,90.0,0.9744,1.0,0.953,0.9286
LOG-000107,BCH-00028,EQ-102,PLT-001,Step 2 – Blending,2024-01-18 00:33:18,2024-01-18 01:33:18,60,60.0,0.0,completed,60.0,0.9685,0.9736,0.9787,0.9228
LOG-000108,BCH-00028,EQ-103,PLT-001,Step 3 – Compression,2024-01-18 01:33:18,2024-01-18 03:33:18,120,120.0,0.0,completed,120.0,0.9819,0.9451,0.9882,0.917
LOG-000109,BCH-00028,EQ-104,PLT-001,Step 4 – Coating,2024-01-18 03:33:18,2024-01-18 06:03:18,150,150.0,0.0,completed,150.0,0.9609,0.9863,0.9615,0.9112
LOG-000110,BCH-00029,EQ-101,PLT-001,Step 1 – Granulation,2024-01-18 10:21:45,2024-01-18 11:51:45,90,90.0,0.0,completed,90.0,0.9939,0.969,0.9597,0.9243
LOG-000111,BCH-00029,EQ-102,PLT-001,Step 2 – Blending,2024-01-18 11:51:45,2024-01-18 12:51:45,60,60.0,0.0,completed,60.0,0.9696,1.0,0.9845,0.9546
LOG-000112,BCH-00029,EQ-103,PLT-001,Step 3 – Compression,2024-01-18 12:51:45,2024-01-18 14:51:45,120,120.0,0.0,completed,120.0,1.0,0.984,0.9815,0.9658
LOG-000113,BCH-00029,EQ-104,PLT-001,Step 4 – Coating,2024-01-18 14:51:45,2024-01-18 17:21:45,150,150.0,0.0,completed,150.0,0.9587,0.9932,0.9647,0.9186
LOG-000114,BCH-00030,EQ-101,PLT-001,Step 1 – Granulation,2024-01-19 13:30:40,2024-01-19 15:00:40,90,90.0,0.0,completed,90.0,0.9632,0.9638,0.9748,0.9049
LOG-000115,BCH-00030,EQ-102,PLT-001,Step 2 – Blending,2024-01-19 15:00:40,2024-01-19 16:00:40,60,60.0,0.0,completed,60.0,0.9499,1.0,0.9753,0.9264
LOG-000116,BCH-00030,EQ-103,PLT-001,Step 3 – Compression,2024-01-19 16:00:40,2024-01-19 18:00:40,120,120.0,0.0,completed,120.0,1.0,0.9797,0.9881,0.968
LOG-000117,BCH-00030,EQ-104,PLT-001,Step 4 – Coating,2024-01-19 18:00:40,2024-01-19 20:30:40,150,150.0,0.0,completed,150.0,0.976,0.9749,0.9581,0.9116
LOG-000118,BCH-00031,EQ-101,PLT-001,Step 1 – Granulation,2024-01-19 14:05:28,2024-01-19 17:10:52,90,185.4,95.4,completed,90.0,0.8028,0.7811,0.9553,0.599
LOG-000119,BCH-00031,EQ-102,PLT-001,Step 2 – Blending,2024-01-19 17:10:52,2024-01-19 18:10:52,60,60.0,0.0,completed,60.0,0.9487,0.9877,0.9674,0.9065
LOG-000120,BCH-00031,EQ-103,PLT-001,Step 3 – Compression,2024-01-19 18:10:52,2024-01-19 20:46:07,120,155.2,35.2,completed,120.0,0.9211,0.896,0.9719,0.8021
LOG-000121,BCH-00031,EQ-104,PLT-001,Step 4 – Coating,2024-01-19 20:46:07,2024-01-19 23:43:21,150,177.2,27.2,completed,150.0,0.8911,0.932,0.9843,0.8175
LOG-000122,BCH-00032,EQ-101,PLT-001,Step 1 – Granulation,2024-01-19 16:44:56,2024-01-19 18:14:56,90,90.0,0.0,completed,90.0,0.9713,0.9652,0.9705,0.9098
LOG-000123,BCH-00032,EQ-102,PLT-001,Step 2 – Blending,2024-01-19 18:14:56,2024-01-19 19:14:56,60,60.0,0.0,completed,60.0,0.9537,0.9903,0.9867,0.9319
LOG-000124,BCH-00032,EQ-103,PLT-001,Step 3 – Compression,2024-01-19 19:14:56,2024-01-19 21:14:56,120,120.0,0.0,completed,120.0,0.9721,0.9775,0.9981,0.9484
LOG-000125,BCH-00032,EQ-104,PLT-001,Step 4 – Coating,2024-01-19 21:14:56,2024-01-19 23:44:56,150,150.0,0.0,completed,150.0,0.9765,0.9701,0.9527,0.9025
LOG-000126,BCH-00033,EQ-101,PLT-001,Step 1 – Granulation,2024-01-19 23:38:56,2024-01-20 01:08:56,90,90.0,0.0,completed,90.0,0.9643,1.0,0.9982,0.9626
LOG-000127,BCH-00033,EQ-102,PLT-001,Step 2 – Blending,2024-01-20 01:08:56,2024-01-20 02:08:56,60,60.0,0.0,completed,60.0,0.9645,0.9189,0.973,0.8623
LOG-000128,BCH-00033,EQ-103,PLT-001,Step 3 – Compression,2024-01-20 02:08:56,2024-01-20 04:23:13,120,134.3,14.3,completed,120.0,0.9478,0.9336,0.9199,0.814
LOG-000129,BCH-00033,EQ-104,PLT-001,Step 4 – Coating,2024-01-20 04:23:13,2024-01-20 07:34:49,150,191.6,41.6,completed,150.0,0.9379,0.9012,0.9723,0.8218
LOG-000130,BCH-00034,EQ-101,PLT-001,Step 1 – Granulation,2024-01-20 19:11:11,2024-01-20 20:41:11,90,90.0,0.0,completed,90.0,0.9999,0.9534,0.9418,0.8978
LOG-000131,BCH-00034,EQ-102,PLT-001,Step 2 – Blending,2024-01-20 20:41:11,2024-01-20 21:41:11,60,60.0,0.0,completed,60.0,0.9643,0.9773,0.9512,0.8964
LOG-000132,BCH-00034,EQ-103,PLT-001,Step 3 – Compression,2024-01-20 21:41:11,2024-01-20 23:49:39,120,128.5,8.5,completed,120.0,0.9625,0.9161,0.9544,0.8415
LOG-000133,BCH-00034,EQ-104,PLT-001,Step 4 – Coating,2024-01-20 23:49:39,2024-01-21 02:19:39,150,150.0,0.0,completed,150.0,0.987,0.944,0.9685,0.9024
LOG-000134,BCH-00035,EQ-101,PLT-001,Step 1 – Granulation,2024-01-22 02:18:37,2024-01-22 03:48:37,90,90.0,0.0,completed,90.0,0.9623,0.9843,0.9368,0.8873
LOG-000135,BCH-00035,EQ-102,PLT-001,Step 2 – Blending,2024-01-22 03:48:37,2024-01-22 05:16:25,60,87.8,27.8,completed,60.0,0.8687,0.8528,0.9914,0.7345
LOG-000136,BCH-00035,EQ-103,PLT-001,Step 3 – Compression,2024-01-22 05:16:25,2024-01-22 07:21:25,120,125.0,5.0,completed,120.0,0.9598,0.9627,0.9918,0.9164
LOG-000137,BCH-00035,EQ-104,PLT-001,Step 4 – Coating,2024-01-22 07:21:25,2024-01-22 09:20:49,150,119.4,0.0,aborted,119.4,0.953,0.95,0.7274,0.6586
LOG-000138,BCH-00036,EQ-101,PLT-001,Step 1 – Granulation,2024-01-22 08:57:39,2024-01-22 10:27:39,90,90.0,0.0,completed,90.0,0.9708,0.9487,0.9645,0.8883
LOG-000139,BCH-00036,EQ-102,PLT-001,Step 2 – Blending,2024-01-22 10:27:39,2024-01-22 11:27:39,60,60.0,0.0,completed,60.0,0.9663,0.9557,0.9605,0.887
LOG-000140,BCH-00036,EQ-103,PLT-001,Step 3 – Compression,2024-01-22 11:27:39,2024-01-22 13:27:39,120,120.0,0.0,completed,120.0,0.9639,0.9547,0.9714,0.8939
