downtime_id,batch_id,equip_id,plant_id,reason,start_timestamp,duration_minutes
DT-000028,BCH-00061,EQ-103,PLT-001,Electrical fault,2024-02-04 05:55:38,1.0
DT-000029,BCH-00068,EQ-103,PLT-001,Mechanical failure,2024-02-07 13:32:14,17.9
DT-000030,BCH-00076,EQ-102,PLT-001,Electrical fault,2024-02-10 07:29:05,20.5
DT-000031,BCH-00079,EQ-101,PLT-001,Scheduled maintenance overrun,2024-02-12 07:38:03,8.7
DT-000032,BCH-00079,EQ-103,PLT-001,Sensor malfunction,2024-02-12 11:47:27,7.7
DT-000033,BCH-00079,EQ-104,PLT-001,Pneumatic failure,2024-02-12 13:41:30,13.3
DT-000034,BCH-00081,EQ-103,PLT-001,Scheduled maintenance overrun,2024-02-13 14:40:31,25.3
DT-000035,BCH-00081,EQ-103,PLT-001,Electrical fault,2024-02-13 15:43:36,32.0
DT-000036,BCH-00081,EQ-104,PLT-001,Pneumatic failure,2024-02-13 18:27:02,8.5
DT-000037,BCH-00084,EQ-101,PLT-001,Sensor malfunction,2024-02-14 06:33:40,18.7
DT-000038,BCH-00086,EQ-103,PLT-001,Pneumatic failure,2024-02-14 12:55:38,20.5
DT-000039,BCH-00087,EQ-104,PLT-001,Pneumatic failure,2024-02-16 12:17:54,20.0
DT-000040,BCH-00094,EQ-101,PLT-001,Scheduled maintenance overrun,2024-02-19 06:16:10,43.4
DT-000041,BCH-00094,EQ-102,PLT-001,Pneumatic failure,2024-02-19 09:06:24,14.6
DT-000042,BCH-00094,EQ-102,PLT-001,Mechanical failure,2024-02-19 08:32:29,7.1
DT-000043,BCH-00095,EQ-102,PLT-001,Sensor malfunction,2024-02-19 20:18:43,40.3
DT-000044,BCH-00095,EQ-103,PLT-001,Mechanical failure,2024-02-19 23:03:24,7.9
DT-000045,BCH-00096,EQ-102,PLT-001,Mechanical failure,2024-02-20 19:03:11,9.4
DT-000046,BCH-00097,EQ-103,PLT-001,Electrical fault,2024-02-24 09:55:37,29.4
DT-000047,BCH-00098,EQ-101,PLT-001,Mechanical failure,2024-02-24 16:51:56,11.0
DT-000048,BCH-00098,EQ-103,PLT-001,Mechanical failure,2024-02-24 18:51:39,1.0
DT-000049,BCH-00102,EQ-103,PLT-001,Sensor malfunction,2024-02-26 20:23:42,10.3
DT-000050,BCH-00103,EQ-101,PLT-001,Scheduled maintenance overrun,2024-02-26 22:52:56,8.2
DT-000051,BCH-00104,EQ-103,PLT-001,Pneumatic failure,2024-02-27 18:26:27,1.5
DT-000052,BCH-00105,EQ-102,PLT-001,Pneumatic failure,2024-02-27 20:49:01,6.0
DT-000053,BCH-00110,EQ-103,PLT-001,Mechanical failure,2024-03-03 06:49:40,42.7
DT-000054,BCH-00111,EQ-101,PLT-001,Mechanical failure,2024-03-03 17:08:17,1.4
DT-000055,BCH-00111,EQ-101,PLT-001,Mechanical failure,2024-03-03 16:53:04,34.1
DT-000056,BCH-00112,EQ-101,PLT-001,Scheduled maintenance overrun,2024-03-05 10:07:38,35.0
DT-000057,BCH-00112,EQ-104,PLT-001,Mechanical failure,2024-03-05 15:43:39,1.0
DT-000058,BCH-00113,EQ-101,PLT-001,Scheduled maintenance overrun,2024-03-06 09:40:51,4.4
DT-000059,BCH-00113,EQ-102,PLT-001,Pneumatic failure,2024-03-06 10:51:51,46.6
DT-000060,BCH-00113,EQ-102,PLT-001,Scheduled maintenance overrun,2024-03-06 11:22:01,12.6
DT-000061,BCH-00114,EQ-103,PLT-001,Electrical fault,2024-03-06 13:08:47,10.4
DT-000062,BCH-00119,EQ-103,PLT-001,Sensor malfunction,2024-03-09 04:28:23,8.3
DT-000063,BCH-00120,EQ-101,PLT-001,Mechanical failure,2024-03-10 14:53:26,28.3
DT-000064,BCH-00122,EQ-101,PLT-001,Electrical fault,2024-03-11 12:53:56,5.9
DT-000065,BCH-00128,EQ-104,PLT-001,Electrical fault,2024-03-14 05:42:53,15.4
DT-000066,BCH-00130,EQ-101,PLT-001,Scheduled maintenance overrun,2024-03-15 13:17:16,1.0
DT-000067,BCH-00130,EQ-101,PLT-001,Pneumatic failure,2024-03-15 12:44:36,2.9
DT-000068,BCH-00131,EQ-104,PLT-001,Electrical fault,2024-03-15 22:39:00,9.6
DT-000069,BCH-00134,EQ-103,PLT-001,Scheduled maintenance overrun,2024-03-18 00:29:48,15.0
DT-000070,BCH-00136,EQ-102,PLT-001,Pneumatic failure,2024-03-18 12:03:30,12.5
DT-000071,BCH-00141,EQ-102,PLT-001,Electrical fault,2024-03-19 06:19:36,63.1
DT-000072,BCH-00141,EQ-103,PLT-001,Scheduled maintenance overrun,2024-03-19 09:53:55,33.4
DT-000073,BCH-00142,EQ-102,PLT-001,Electrical fault,2024-03-19 10:56:17,38.3
DT-000074,BCH-00143,EQ-103,PLT-001,Electrical fault,2024-03-20 13:38:24,26.9
DT-000075,BCH-00144,EQ-104,PLT-001,Scheduled maintenance overrun,2024-03-20 23:57:33,1.9
DT-000076,BCH-00150,EQ-101,PLT-001,Sensor malfunction,2024-03-21 17:30:55,15.6
DT-000077,BCH-00150,EQ-101,PLT-001,Sensor malfunction,2024-03-21 17:33:56,33.9
DT-000078,BCH-00151,EQ-104,PLT-001,Pneumatic failure,2024-03-22 08:20:08,19.5
DT-000079,BCH-00152,EQ-103,PLT-001,Electrical fault,2024-03-22 12:49:28,11.8
DT-000080,BCH-00154,EQ-102,PLT-001,Pneumatic failure,2024-03-23 06:08:21,5.4
DT-000081,BCH-00154,EQ-102,PLT-001,Sensor malfunction,2024-03-23 05:52:33,47.7
DT-000082,BCH-00155,EQ-102,PLT-001,Pneumatic failure,2024-03-23 06:42:14,73.1
DT-000083,BCH-00157,EQ-101,PLT-001,Electrical fault,2024-03-24 06:24:44,6.3
DT-000084,BCH-00158,EQ-102,PLT-001,Electrical fault,2024-03-24 10:39:33,4.2
DT-000085,BCH-00160,EQ-101,PLT-001,Electrical fault,2024-03-24 19:51:28,22.5
DT-000086,BCH-00160,EQ-103,PLT-001,Pneumatic failure,2024-03-24 23:09:52,50.2
DT-000087,BCH-00161,EQ-104,PLT-001,Sensor malfunction,2024-03-25 08:43:45,11.0
DT-000088,BCH-00163,EQ-101,PLT-001,Sensor malfunction,2024-03-26 03:57:36,15.6
DT-000089,BCH-00167,EQ-101,PLT-001,Pneumatic failure,2024-03-30 04:38:47,45.2
DT-000090,BCH-00167,EQ-104,PLT-001,Sensor malfunction,2024-03-30 10:46:12,16.3
DT-000091,BCH-00168,EQ-101,PLT-001,Sensor malfunction,2024-03-30 06:23:00,13.0
DT-000092,BCH-00168,EQ-102,PLT-001,Electrical fault,2024-03-30 07:29:03,9.7
DT-000093,BCH-00169,EQ-101,PLT-001,Electrical fault,2024-03-30 12:57:40,8.1
DT-000094,BCH-00169,EQ-104,PLT-001,Sensor malfunction,2024-03-30 19:39:23,3.4
DT-000095,BCH-00172,EQ-104,PLT-001,Sensor malfunction,2024-03-31 16:19:01,19.6
DT-000096,BCH-00174,EQ-102,PLT-001,Sensor malfunction,2024-04-01 04:45:49,3.9
DT-000097,BCH-00174,EQ-104,PLT-001,Pneumatic failure,2024-04-01 09:17:04,6.5
DT-000098,BCH-00176,EQ-101,PLT-001,Sensor malfunction,2024-04-01 09:27:33,2.8
DT-000099,BCH-00179,EQ-102,PLT-001,Pneumatic failure,2024-04-03 05:25:00,16.4
DT-000100,BCH-00179,EQ-103,PLT-001,Pneumatic failure,2024-04-03 07:34:06,70.1
DT-000101,BCH-00179,EQ-103,PLT-001,Pneumatic failure,2024-04-03 06:50:16,1.6
DT-000102,BCH-00181,EQ-102,PLT-001,Pneumatic failure,2024-04-05 20:36:55,3.5
DT-000103,BCH-00181,EQ-104,PLT-001,Mechanical failure,2024-04-06 01:16:02,48.3
DT-000104,BCH-00182,EQ-104,PLT-001,Electrical fault,2024-04-06 06:52:13,41.8
DT-000105,BCH-00184,EQ-104,PLT-001,Pneumatic failure,2024-04-06 19:30:15,22.9
DT-000106,BCH-00185,EQ-101,PLT-001,Pneumatic failure,2024-04-06 21:25:50,6.5
DT-000107,BCH-00185,EQ-102,PLT-001,Pneumatic failure,2024-04-06 22:52:12,20.8
DT-000108,BCH-00187,EQ-101,PLT-001,Pneumatic failure,2024-04-07 00:07:37,3.3
DT-000109,BCH-00187,EQ-104,PLT-001,Pneumatic failure,2024-04-07 05:47:28,9.5
DT-000110,BCH-00190,EQ-103,PLT-001,Sensor malfunction,2024-04-07 16:32:17,7.3
DT-000111,BCH-00190,EQ-104,PLT-001,Sensor malfunction,2024-04-07 19:48:31,55.0
DT-000112,BCH-00191,EQ-101,PLT-001,Scheduled maintenance overrun,2024-04-07 13:44:16,66.1
DT-000113,BCH-00191,EQ-102,PLT-001,Pneumatic failure,2024-04-07 17:04:17,20.4
DT-000114,BCH-00191,EQ-103,PLT-001,Scheduled maintenance overrun,2024-04-07 18:20:22,23.7
DT-000115,BCH-00194,EQ-101,PLT-001,Sensor malfunction,2024-04-08 03:27:40,11.8
DT-000116,BCH-00195,EQ-103,PLT-001,Pneumatic failure,2024-04-08 21:17:00,39.4
DT-000117,BCH-00196,EQ-102,PLT-001,Sensor malfunction,2024-04-09 03:28:03,8.6
DT-000118,BCH-00196,EQ-102,PLT-001,Pneumatic failure,2024-04-09 03:21:42,14.0
DT-000119,BCH-00196,EQ-104,PLT-001,Electrical fault,2024-04-09 07:19:29,14.8
DT-000120,BCH-00199,EQ-102,PLT-001,Electrical fault,2024-04-10 08:26:14,10.6
DT-000121,BCH-00201,EQ-101,PLT-001,Scheduled maintenance overrun,2024-04-10 13:17:58,1.0
DT-000122,BCH-00201,EQ-103,PLT-001,Mechanical failure,2024-04-10 16:30:00,13.9
DT-000123,BCH-00203,EQ-103,PLT-001,Sensor malfunction,2024-04-11 06:27:15,52.1
DT-000124,BCH-00204,EQ-103,PLT-001,Sensor malfunction,2024-04-11 19:16:42,3.1
DT-000125,BCH-00205,EQ-102,PLT-001,Electrical fault,2024-04-11 22:14:25,15.6
DT-000126,BCH-00205,EQ-102,PLT-001,Electrical fault,2024-04-11 21:42:35,19.3
DT-000127,BCH-00205,EQ-104,PLT-001,Electrical fault,2024-04-12 02:08:26,9.8
DT-000128,BCH-00206,EQ-102,PLT-001,Scheduled maintenance overrun,2024-04-12 02:34:54,1.6
DT-000129,BCH-00206,EQ-104,PLT-001,Mechanical failure,2024-04-12 07:12:11,28.0
DT-000130,BCH-00207,EQ-103,PLT-001,Scheduled maintenance overrun,2024-04-13 14:49:36,2.3
DT-000131,BCH-00208,EQ-103,PLT-001,Mechanical failure,2024-04-14 13:17:58,2.1
DT-000132,BCH-00210,EQ-104,PLT-001,Scheduled maintenance overrun,2024-04-16 00:24:21,51.8
DT-000133,BCH-00215,EQ-102,PLT-001,Sensor malfunction,2024-04-19 17:47:02,36.8
DT-000134,BCH-00215,EQ-102,PLT-001,Sensor malfunction,2024-04-19 17:21:30,1.9
DT-000135,BCH-00215,EQ-103,PLT-001,Pneumatic failure,2024-04-19 19:54:10,13.8
DT-000136,BCH-00215,EQ-103,PLT-001,Scheduled maintenance overrun,2024-04-19 19:54:36,4.3
DT-000137,BCH-00218,EQ-102,PLT-001,Electrical fault,2024-04-21 02:53:18,3.3
DT-000138,BCH-00218,EQ-102,PLT-001,Scheduled maintenance overrun,2024-04-21 03:26:11,21.0
DT-000139,BCH-00219,EQ-101,PLT-001,Pneumatic failure,2024-04-21 13:57:29,1.1
DT-000140,BCH-00219,EQ-103,PLT-001,Pneumatic failure,2024-04-21 16:36:41,23.4
DT-000141,BCH-00219,EQ-103,PLT-001,Pneumatic failure,2024-04-21 17:02:48,19.4
DT-000142,BCH-00220,EQ-101,PLT-001,Mechanical failure,2024-04-21 23:05:07,3.6
DT-000143,BCH-00221,EQ-101,PLT-001,Sensor malfunction,2024-04-22 10:43:54,12.2
DT-000144,BCH-00221,EQ-104,PLT-001,Electrical fault,2024-04-22 16:48:07,23.4
DT-000145,BCH-00222,EQ-101,PLT-001,Electrical fault,2024-04-22 16:54:27,12.4
DT-000146,BCH-00223,EQ-103,PLT-001,Scheduled maintenance overrun,2024-04-23 03:38:16,11.1
DT-000147,BCH-00223,EQ-104,PLT-001,Mechanical failure,2024-04-23 07:29:04,75.1
DT-000148,BCH-00224,EQ-101,PLT-001,Electrical fault,2024-04-23 23:16:12,4.1
DT-000149,BCH-00224,EQ-102,PLT-001,Mechanical failure,2024-04-24 00:32:48,12.0
DT-000150,BCH-00224,EQ-104,PLT-001,Scheduled maintenance overrun,2024-04-24 04:33:33,2.1
DT-000151,BCH-00225,EQ-101,PLT-001,Pneumatic failure,2024-04-24 00:50:30,39.1
DT-000152,BCH-00226,EQ-104,PLT-001,Electrical fault,2024-04-24 20:18:04,16.1
DT-000153,BCH-00228,EQ-101,PLT-001,Electrical fault,2024-04-25 00:45:57,36.4
DT-000154,BCH-00228,EQ-101,PLT-001,Electrical fault,2024-04-25 00:11:50,7.3
DT-000155,BCH-00230,EQ-104,PLT-001,Sensor malfunction,2024-04-25 20:35:57,113.6
DT-000156,BCH-00231,EQ-102,PLT-001,Mechanical failure,2024-04-26 22:07:32,25.7
DT-000157,BCH-00232,EQ-101,PLT-001,Sensor malfunction,2024-04-28 11:42:34,77.5
DT-000158,BCH-00232,EQ-104,PLT-001,Mechanical failure,2024-04-28 18:38:56,3.0
DT-000159,BCH-00233,EQ-102,PLT-001,Scheduled maintenance overrun,2024-04-29 13:30:07,8.3
DT-000160,BCH-00234,EQ-103,PLT-001,Sensor malfunction,2024-04-30 03:09:50,77.1
DT-000161,BCH-00234,EQ-104,PLT-001,Pneumatic failure,2024-04-30 06:55:04,38.8
DT-000162,BCH-00235,EQ-104,PLT-001,Mechanical failure,2024-04-30 21:03:06,59.3
DT-000163,BCH-00238,EQ-103,PLT-001,Sensor malfunction,2024-05-02 15:18:09,16.1
DT-000164,BCH-00238,EQ-103,PLT-001,Mechanical failure,2024-05-02 15:39:36,12.5
DT-000165,BCH-00240,EQ-101,PLT-001,Sensor malfunction,2024-05-03 00:59:17,46.1
DT-000166,BCH-00240,EQ-101,PLT-001,Pneumatic failure,2024-05-03 00:08:14,4.4
DT-000167,BCH-00241,EQ-102,PLT-001,Electrical fault,2024-05-03 15:17:55,57.0
DT-000168,BCH-00241,EQ-104,PLT-001,Mechanical failure,2024-05-03 19:57:24,19.9
DT-000169,BCH-00242,EQ-102,PLT-001,Mechanical failure,2024-05-04 01:42:00,82.9
DT-000170,BCH-00244,EQ-103,PLT-001,Electrical fault,2024-05-04 11:39:33,46.6
DT-000171,BCH-00247,EQ-102,PLT-001,Scheduled maintenance overrun,2024-05-07 23:00:27,27.1
DT-000172,BCH-00248,EQ-101,PLT-001,Pneumatic failure,2024-05-08 12:56:46,2.4
DT-000173,BCH-00248,EQ-103,PLT-001,Pneumatic failure,2024-05-08 16:54:45,8.8
DT-000174,BCH-00248,EQ-103,PLT-001,Pneumatic failure,2024-05-08 15:19:52,5.8
DT-000175,BCH-00249,EQ-103,PLT-001,Scheduled maintenance overrun,2024-05-13 05:58:12,23.5
DT-000176,BCH-00250,EQ-102,PLT-001,Scheduled maintenance overrun,2024-05-13 08:42:22,15.5
DT-000177,BCH-00251,EQ-101,PLT-001,Electrical fault,2024-05-15 00:11:38,7.5
DT-000178,BCH-00252,EQ-102,PLT-001,Scheduled maintenance overrun,2024-05-15 07:52:23,53.2
DT-000179,BCH-00252,EQ-104,PLT-001,Mechanical failure,2024-05-15 13:33:20,8.4
DT-000180,BCH-00253,EQ-103,PLT-001,Electrical fault,2024-05-15 12:31:58,64.8
DT-000181,BCH-00253,EQ-103,PLT-001,Electrical fault,2024-05-15 13:17:39,41.7
DT-000182,BCH-00255,EQ-102,PLT-001,Mechanical failure,2024-05-18 12:23:02,70.4
DT-000183,BCH-00257,EQ-102,PLT-001,Electrical fault,2024-05-18 13:33:38,130.2
DT-000184,BCH-00259,EQ-101,PLT-001,Electrical fault,2024-05-18 15:35:15,23.8
DT-000185,BCH-00261,EQ-101,PLT-001,Sensor malfunction,2024-05-19 10:20:53,42.9
DT-000186,BCH-00262,EQ-101,PLT-001,Pneumatic failure,2024-05-20 17:44:03,33.3
DT-000187,BCH-00262,EQ-104,PLT-001,Scheduled maintenance overrun,2024-05-20 23:41:07,114.5
DT-000188,BCH-00263,EQ-102,PLT-001,Pneumatic failure,2024-05-24 00:13:27,6.0
DT-000189,BCH-00263,EQ-103,PLT-001,Pneumatic failure,2024-05-24 01:36:49,40.6
DT-000190,BCH-00263,EQ-104,PLT-001,Pneumatic failure,2024-05-24 05:56:19,19.0
DT-000191,BCH-00264,EQ-101,PLT-001,Electrical fault,2024-05-24 13:25:17,8.4
DT-000192,BCH-00264,EQ-104,PLT-001,Electrical fault,2024-05-24 19:11:19,38.4
DT-000193,BCH-00265,EQ-104,PLT-001,Pneumatic failure,2024-05-24 19:48:45,16.3
DT-000194,BCH-00266,EQ-101,PLT-001,Pneumatic failure,2024-05-24 22:20:46,36.3
DT-000195,BCH-00266,EQ-103,PLT-001,Pneumatic failure,2024-05-25 02:12:51,18.6
DT-000196,BCH-00266,EQ-103,PLT-001,Sensor malfunction,2024-05-25 01:28:42,78.6
DT-000197,BCH-00268,EQ-101,PLT-001,Electrical fault,2024-05-26 00:17:04,39.6
DT-000198,BCH-00269,EQ-104,PLT-001,Mechanical failure,2024-05-26 13:57:51,71.0
DT-000199,BCH-00270,EQ-102,PLT-001,Pneumatic failure,2024-05-26 15:20:11,32.4
DT-000200,BCH-00270,EQ-103,PLT-001,Pneumatic failure,2024-05-26 18:31:09,42.3
DT-000201,BCH-00271,EQ-102,PLT-001,Electrical fault,2024-05-27 01:53:22,4.0
DT-000202,BCH-00272,EQ-101,PLT-001,Scheduled maintenance overrun,2024-05-27 02:14:07,8.9
DT-000203,BCH-00272,EQ-103,PLT-001,Pneumatic failure,2024-05-27 05:03:50,1.8
DT-000204,BCH-00272,EQ-104,PLT-001,Pneumatic failure,2024-05-27 08:24:31,35.4
DT-000205,BCH-00273,EQ-102,PLT-001,Pneumatic failure,2024-05-27 18:17:55,53.9
DT-000206,BCH-00273,EQ-102,PLT-001,Electrical fault,2024-05-27 18:51:11,3.1
DT-000207,BCH-00274,EQ-102,PLT-001,Pneumatic failure,2024-05-28 12:21:17,153.4
DT-000208,BCH-00274,EQ-104,PLT-001,Pneumatic failure,2024-05-28 18:30:37,6.0
DT-000209,BCH-00275,EQ-102,PLT-001,Scheduled maintenance overrun,2024-05-28 23:01:06,14.9
DT-000210,BCH-00276,EQ-101,PLT-001,Electrical fault,2024-05-29 04:57:53,39.0
DT-000211,BCH-00278,EQ-101,PLT-001,Mechanical failure,2024-05-31 21:15:48,62.5
DT-000212,BCH-00279,EQ-101,PLT-001,Electrical fault,2024-06-02 01:40:04,6.8
DT-000213,BCH-00280,EQ-103,PLT-001,Sensor malfunction,2024-06-02 06:03:50,32.3
DT-000214,BCH-00282,EQ-103,PLT-001,Mechanical failure,2024-06-02 16:30:22,37.9
DT-000215,BCH-00284,EQ-102,PLT-001,Sensor malfunction,2024-06-03 04:18:06,166.6
DT-000216,BCH-00284,EQ-103,PLT-001,Electrical fault,2024-06-03 09:38:50,21.9
DT-000217,BCH-00287,EQ-102,PLT-001,Sensor malfunction,2024-06-03 15:31:28,11.3
DT-000218,BCH-00287,EQ-102,PLT-001,Scheduled maintenance overrun,2024-06-03 15:11:11,37.7
DT-000219,BCH-00288,EQ-103,PLT-001,Sensor malfunction,2024-06-03 20:40:12,4.4
DT-000220,BCH-00288,EQ-103,PLT-001,Electrical fault,2024-06-03 20:53:13,75.8
DT-000221,BCH-00288,EQ-104,PLT-001,Pneumatic failure,2024-06-04 00:47:34,22.2
DT-000222,BCH-00288,EQ-104,PLT-001,Electrical fault,2024-06-04 01:01:29,28.3
DT-000223,BCH-00289,EQ-104,PLT-001,Sensor malfunction,2024-06-03 21:52:26,8.5
DT-000224,BCH-00289,EQ-104,PLT-001,Electrical fault,2024-06-03 22:33:19,41.1
DT-000225,BCH-00291,EQ-103,PLT-001,Scheduled maintenance overrun,2024-06-04 13:12:32,17.7
DT-000226,BCH-00291,EQ-104,PLT-001,Mechanical failure,2024-06-04 15:48:47,25.1
DT-000227,BCH-00291,EQ-104,PLT-001,Scheduled maintenance overrun,2024-06-04 15:48:41,13.6
DT-000228,BCH-00292,EQ-101,PLT-001,Pneumatic failure,2024-06-05 05:43:34,47.7
DT-000229,BCH-00292,EQ-102,PLT-001,Scheduled maintenance overrun,2024-06-05 07:37:26,47.5
DT-000230,BCH-00292,EQ-103,PLT-001,Sensor malfunction,2024-06-05 10:15:46,62.4
DT-000231,BCH-00293,EQ-101,PLT-001,Electrical fault,2024-06-05 11:18:27,3.3
DT-000232,BCH-00293,EQ-102,PLT-001,Pneumatic failure,2024-06-05 12:52:35,5.4
DT-000233,BCH-00293,EQ-104,PLT-001,Mechanical failure,2024-06-05 17:32:30,100.8
DT-000234,BCH-00295,EQ-102,PLT-001,Mechanical failure,2024-06-06 12:41:20,38.6
DT-000235,BCH-00295,EQ-102,PLT-001,Sensor malfunction,2024-06-06 12:11:55,76.5
DT-000236,BCH-00296,EQ-101,PLT-001,Scheduled maintenance overrun,2024-06-07 18:32:30,27.0
DT-000237,BCH-00299,EQ-101,PLT-001,Scheduled maintenance overrun,2024-06-08 03:02:18,111.3
DT-000238,BCH-00299,EQ-103,PLT-001,Pneumatic failure,2024-06-08 07:51:57,37.1
DT-000239,BCH-00300,EQ-102,PLT-001,Mechanical failure,2024-06-08 06:04:34,33.5
DT-000240,BCH-00300,EQ-102,PLT-001,Mechanical failure,2024-06-08 06:48:37,1.0
DT-000241,BCH-00300,EQ-104,PLT-001,Mechanical failure,2024-06-08 10:44:22,37.0
DT-000242,BCH-00301,EQ-102,PLT-001,Electrical fault,2024-06-09 02:18:28,41.3
DT-000243,BCH-00301,EQ-103,PLT-001,Pneumatic failure,2024-06-09 03:38:59,4.2
DT-000244,BCH-00302,EQ-101,PLT-001,Scheduled maintenance overrun,2024-06-09 21:22:04,83.4
DT-000245,BCH-00302,EQ-102,PLT-001,Scheduled maintenance overrun,2024-06-10 00:18:11,14.1
DT-000246,BCH-00304,EQ-103,PLT-001,Pneumatic failure,2024-06-11 00:41:21,15.5
DT-000247,BCH-00306,EQ-101,PLT-001,Pneumatic failure,2024-06-14 17:51:13,10.8
DT-000248,BCH-00307,EQ-102,PLT-001,Electrical fault,2024-06-15 06:21:25,18.2
DT-000249,BCH-00307,EQ-103,PLT-001,Mechanical failure,2024-06-15 08:19:41,28.8
DT-000250,BCH-00308,EQ-101,PLT-001,Pneumatic failure,2024-06-15 17:15:54,21.3
DT-000251,BCH-00308,EQ-104,PLT-001,Electrical fault,2024-06-15 22:19:53,53.2
DT-000252,BCH-00308,EQ-104,PLT-001,Mechanical failure,2024-06-16 00:09:03,128.4
DT-000253,BCH-00309,EQ-103,PLT-001,Scheduled maintenance overrun,2024-06-16 12:42:26,13.2
DT-000254,BCH-00310,EQ-102,PLT-001,Electrical fault,2024-06-16 15:59:56,109.7
DT-000255,BCH-00310,EQ-104,PLT-001,Electrical fault,2024-06-16 22:54:06,11.3
DT-000256,BCH-00312,EQ-101,PLT-001,Sensor malfunction,2024-06-17 15:47:39,54.3
DT-000257,BCH-00313,EQ-102,PLT-001,Electrical fault,2024-06-18 18:49:11,48.7
DT-000258,BCH-00314,EQ-101,PLT-001,Pneumatic failure,2024-06-18 19:55:04,35.5
DT-000259,BCH-00315,EQ-101,PLT-001,Sensor malfunction,2024-06-19 13:29:29,11.6
DT-000260,BCH-00315,EQ-101,PLT-001,Electrical fault,2024-06-19 13:56:18,10.4
DT-000261,BCH-00315,EQ-102,PLT-001,Electrical fault,2024-06-19 15:29:55,21.8
DT-000262,BCH-00317,EQ-101,PLT-001,Scheduled maintenance overrun,2024-06-20 10:17:13,39.7
DT-000263,BCH-00318,EQ-102,PLT-001,Sensor malfunction,2024-06-21 17:07:51,55.9
DT-000264,BCH-00319,EQ-101,PLT-001,Pneumatic failure,2024-06-21 20:03:08,44.5
DT-000265,BCH-00320,EQ-104,PLT-001,Sensor malfunction,2024-06-22 01:54:24,48.6
DT-000266,BCH-00321,EQ-101,PLT-001,Pneumatic failure,2024-06-22 08:48:57,9.5
DT-000267,BCH-00321,EQ-102,PLT-001,Mechanical failure,2024-06-22 10:15:05,32.1
DT-000268,BCH-00321,EQ-103,PLT-001,Pneumatic failure,2024-06-22 12:45:44,96.6
DT-000269,BCH-00322,EQ-101,PLT-001,Mechanical failure,2024-06-22 12:30:54,31.9
DT-000270,BCH-00322,EQ-102,PLT-001,Pneumatic failure,2024-06-22 15:06:46,34.7
DT-000271,BCH-00322,EQ-104,PLT-001,Pneumatic failure,2024-06-22 19:46:18,31.2
DT-000272,BCH-00323,EQ-103,PLT-001,Sensor malfunction,2024-06-22 21:45:10,29.4
DT-000273,BCH-00324,EQ-103,PLT-001,Electrical fault,2024-06-23 15:13:24,45.0
